mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,mean_test_score,std_test_score
2.368,0.023,0.119,0.007,0.282,5,635,1.989,0.0,0.421,0.025
11.036,0.244,0.588,0.05,0.134,8,1939,1.599,3.477,0.421,0.013
1.802,0.082,0.057,0.004,0.146,6,849,31.587,0.987,0.421,0.015
3.296,0.153,0.198,0.013,0.295,8,557,0.001,0.096,0.421,0.009
5.062,0.117,0.193,0.01,0.156,7,1648,5.749,0.0,0.421,0.022
5.612,0.091,0.337,0.028,0.162,5,1602,0.019,0.013,0.421,0.017
8.186,0.412,0.508,0.057,0.252,8,1395,0.203,0.167,0.421,0.011
6.335,0.08,0.37,0.025,0.285,5,1895,0.001,0.129,0.421,0.014
8.151,0.305,0.591,0.067,0.18,7,1767,0.001,0.008,0.421,0.013
4.878,0.064,0.295,0.021,0.053,5,1424,0.011,0.674,0.421,0.027
4.902,0.013,0.258,0.017,0.173,8,673,0.394,0.487,0.421,0.013
8.779,0.314,0.686,0.069,0.154,9,1520,0.001,0.052,0.421,0.012
6.991,0.171,0.402,0.033,0.027,6,1590,0.0,0.002,0.421,0.024
3.56,0.14,0.155,0.009,0.127,3,1576,1.426,0.195,0.421,0.025
3.173,0.045,0.152,0.011,0.198,4,1136,1.061,0.076,0.421,0.027
5.226,0.063,0.262,0.017,0.158,4,1899,1.525,72.494,0.421,0.03
14.189,0.547,0.836,0.117,0.052,9,1565,0.453,0.009,0.421,0.015
5.976,0.263,0.35,0.028,0.125,5,1809,0.001,0.0,0.421,0.015
10.363,0.276,0.652,0.083,0.23,9,1158,0.008,26.909,0.421,0.016
5.673,0.071,0.334,0.024,0.082,6,1266,0.012,27.76,0.421,0.033
7.682,0.251,0.497,0.065,0.079,6,1704,0.678,0.134,0.421,0.012
5.206,0.199,0.326,0.019,0.125,5,1556,0.039,9.772,0.421,0.039
8.273,0.163,0.469,0.033,0.025,8,1029,0.016,0.001,0.421,0.013
8.813,0.112,0.738,0.046,0.257,9,1663,0.002,0.036,0.421,0.013
3.552,0.173,0.117,0.007,0.284,2,1952,0.001,0.012,0.421,0.018
7.283,0.221,0.287,0.01,0.203,9,1880,2.294,1.729,0.421,0.012
6.528,0.171,0.375,0.03,0.074,7,1081,1.253,3.147,0.421,0.013
6.264,0.103,0.389,0.024,0.175,5,1901,0.0,4.869,0.421,0.019
3.648,0.083,0.196,0.012,0.2,5,1021,0.681,25.417,0.421,0.032
4.021,0.086,0.191,0.013,0.028,7,633,0.055,90.809,0.421,0.031
13.655,0.166,0.906,0.061,0.073,8,1901,0.026,10.854,0.421,0.014
9.085,0.184,0.577,0.053,0.263,8,1752,0.135,0.075,0.421,0.008
2.678,0.06,0.135,0.01,0.2,4,1025,0.043,0.001,0.421,0.027
3.782,0.158,0.115,0.009,0.068,7,1789,31.242,0.598,0.421,0.02
2.982,0.104,0.133,0.009,0.28,3,1359,0.038,71.668,0.421,0.019
4.286,0.073,0.221,0.018,0.275,4,1621,0.007,7.577,0.421,0.025
2.332,0.04,0.124,0.008,0.202,6,526,0.001,0.002,0.421,0.014
6.287,0.231,0.408,0.032,0.267,5,1893,0.0,0.001,0.421,0.023
8.467,0.253,0.506,0.012,0.147,9,1027,0.818,0.049,0.421,0.01
7.061,0.161,0.561,0.048,0.288,9,1335,0.001,0.005,0.421,0.013
5.01,0.155,0.255,0.014,0.274,4,1754,0.024,0.006,0.421,0.025
5.676,0.185,0.339,0.03,0.058,6,1326,0.0,0.057,0.421,0.013
3.703,0.115,0.209,0.014,0.268,5,1099,0.015,0.001,0.421,0.018
3.143,0.085,0.101,0.006,0.266,2,1667,5.54,0.598,0.421,0.018
3.2,0.085,0.161,0.012,0.239,4,1192,0.005,5.91,0.421,0.035
7.318,0.064,0.454,0.046,0.046,6,1665,0.001,0.001,0.421,0.021
4.76,0.034,0.275,0.018,0.099,7,871,0.002,0.187,0.421,0.012
5.278,0.173,0.309,0.028,0.288,7,912,0.437,3.147,0.421,0.008
1.603,0.048,0.049,0.003,0.234,9,764,32.682,0.0,0.421,0.007
4.381,0.104,0.218,0.016,0.293,4,1617,0.173,1.219,0.421,0.028
7.422,0.029,0.438,0.03,0.106,9,882,0.171,0.145,0.421,0.013
2.672,0.019,0.139,0.009,0.132,6,590,0.218,0.001,0.421,0.012
9.1,0.108,0.576,0.054,0.183,7,1704,0.001,16.853,0.421,0.017
6.4,0.175,0.36,0.018,0.183,6,1445,0.0,62.541,0.421,0.025
3.212,0.087,0.159,0.011,0.192,4,1179,0.061,34.104,0.421,0.025
4.918,0.252,0.259,0.02,0.152,4,1823,0.001,0.0,0.421,0.031
3.502,0.062,0.193,0.013,0.15,7,627,0.004,0.001,0.42,0.017
8.137,0.031,0.562,0.041,0.094,6,1912,0.129,1.127,0.42,0.014
6.038,0.097,0.334,0.02,0.077,5,1747,0.303,2.406,0.42,0.032
8.422,0.236,0.557,0.048,0.235,7,1677,0.122,0.011,0.42,0.008
3.275,0.04,0.109,0.008,0.287,2,1833,0.0,0.625,0.42,0.014
9.268,0.173,0.67,0.04,0.262,9,1296,0.001,5.202,0.42,0.013
12.992,0.454,0.857,0.049,0.11,8,1870,0.035,15.309,0.42,0.013
13.434,0.146,0.931,0.059,0.109,9,1798,0.0,4.329,0.42,0.011
2.946,0.054,0.146,0.012,0.254,4,1091,0.23,0.055,0.42,0.023
2.031,0.1,0.075,0.003,0.127,5,894,21.029,0.002,0.42,0.018
2.802,0.09,0.064,0.005,0.28,8,1738,30.699,3.467,0.42,0.015
6.815,0.139,0.436,0.035,0.159,7,1373,0.023,0.0,0.42,0.015
10.225,0.351,0.74,0.07,0.139,8,1980,0.0,0.174,0.42,0.012
2.229,0.071,0.055,0.001,0.298,8,1322,34.721,0.145,0.42,0.019
4.365,0.132,0.246,0.017,0.3,5,1296,0.004,0.124,0.42,0.016
5.025,0.072,0.296,0.023,0.17,7,939,0.122,0.294,0.42,0.011
2.877,0.058,0.14,0.01,0.112,4,1061,0.048,0.148,0.42,0.024
5.427,0.161,0.293,0.018,0.272,4,1990,0.834,9.178,0.42,0.029
4.323,0.079,0.243,0.015,0.136,5,1300,0.011,0.048,0.42,0.022
5.097,0.117,0.286,0.018,0.132,5,1430,1.233,0.028,0.42,0.024
6.816,0.224,0.494,0.046,0.179,8,1262,0.0,0.002,0.42,0.015
3.524,0.08,0.18,0.013,0.157,6,715,4.69,1.091,0.42,0.017
2.894,0.095,0.069,0.004,0.196,4,1837,23.388,0.009,0.42,0.018
8.467,0.232,0.411,0.028,0.153,9,1462,0.729,0.067,0.42,0.013
