mean_fit_time,std_fit_time,mean_score_time,std_score_time,C,class_weight,max_iter,penalty,mean_test_score,std_test_score
0.215,0.009,0.013,0.001,0.005,balanced,5905,l2,0.506,0.036
0.214,0.017,0.013,0.001,0.004,balanced,9184,l2,0.505,0.036
0.214,0.016,0.014,0.001,0.004,balanced,7621,l2,0.505,0.036
0.224,0.014,0.012,0.001,0.005,balanced,9356,l2,0.505,0.036
0.196,0.018,0.012,0.001,0.003,balanced,5929,l2,0.504,0.035
0.164,0.02,0.014,0.002,0.002,balanced,6862,l2,0.504,0.031
0.174,0.021,0.013,0.001,0.002,balanced,8542,l2,0.504,0.032
0.177,0.022,0.013,0.001,0.002,balanced,9378,l2,0.504,0.032
0.186,0.016,0.014,0.001,0.002,balanced,9394,l2,0.504,0.031
0.171,0.025,0.013,0.001,0.002,balanced,5495,l2,0.503,0.031
0.15,0.006,0.013,0.001,0.001,balanced,9819,l2,0.503,0.03
0.147,0.013,0.014,0.001,0.001,balanced,8432,l2,0.501,0.031
0.152,0.025,0.013,0.001,0.001,balanced,8015,l2,0.501,0.031
0.081,0.007,0.013,0.002,0.0,balanced,6507,l2,0.501,0.035
0.089,0.006,0.014,0.001,0.0,balanced,7681,l2,0.501,0.034
0.091,0.006,0.014,0.001,0.0,balanced,8230,l2,0.501,0.035
0.082,0.003,0.013,0.001,0.0,balanced,6353,l2,0.501,0.034
0.092,0.005,0.012,0.001,0.0,balanced,7684,l2,0.501,0.034
0.107,0.013,0.013,0.001,0.0,balanced,5421,l2,0.501,0.034
0.096,0.009,0.014,0.001,0.0,balanced,5675,l2,0.501,0.034
0.1,0.01,0.013,0.001,0.0,balanced,8948,l2,0.501,0.034
0.123,0.027,0.014,0.001,0.0,balanced,6123,l2,0.501,0.034
0.099,0.01,0.013,0.001,0.0,balanced,7359,l2,0.501,0.034
0.121,0.005,0.014,0.001,0.0,balanced,8148,l2,0.5,0.033
0.118,0.009,0.014,0.002,0.001,balanced,9905,l2,0.5,0.032
0.11,0.006,0.013,0.001,0.0,balanced,7456,l2,0.5,0.033
0.123,0.005,0.013,0.001,0.0,balanced,7501,l2,0.5,0.032
0.111,0.007,0.013,0.002,0.0,balanced,7247,l2,0.5,0.033
0.124,0.007,0.014,0.001,0.0,balanced,6076,l2,0.5,0.033
0.566,0.025,0.013,0.001,65.654,,8078,l2,0.351,0.052
0.53,0.062,0.014,0.001,48.988,,9384,l2,0.351,0.052
0.553,0.058,0.013,0.002,22.709,,7785,l2,0.35,0.052
0.564,0.049,0.014,0.001,70.985,,7378,l2,0.35,0.052
0.559,0.1,0.014,0.001,32.03,,8968,l2,0.35,0.052
0.552,0.023,0.013,0.001,39.121,,6859,l2,0.35,0.052
0.525,0.075,0.012,0.001,21.902,,5609,l2,0.35,0.052
0.742,0.076,0.017,0.007,67.981,,5350,l2,0.35,0.053
0.652,0.146,0.015,0.001,33.25,,5150,l2,0.35,0.051
0.509,0.067,0.013,0.001,10.632,,6220,l2,0.35,0.052
0.56,0.031,0.013,0.001,6.768,,8165,l2,0.35,0.052
0.558,0.105,0.013,0.001,28.999,,6312,l2,0.35,0.052
0.571,0.085,0.014,0.001,13.5,,8076,l2,0.35,0.052
0.55,0.101,0.017,0.006,48.304,,6544,l2,0.35,0.053
0.553,0.054,0.015,0.001,52.934,,8864,l2,0.35,0.052
0.613,0.067,0.014,0.001,22.024,,5194,l2,0.35,0.052
0.641,0.066,0.014,0.001,1.15,,6085,,0.35,0.053
